Channel 0,Channel 1,Channel 2,Channel 3,
4.83147378454305,4.262206667808641,3.9600764252827503,3.359252788904996,
4.83147378454305,4.1506653062970145,4.368436535914952,3.9794477541727247,
4.830848902965954,4.27782870723604,4.537779443307954,4.263768871751381,
4.831161343754502,4.396243766095722,4.629012153563963,4.419989266025368,
4.83147378454305,4.478728134272387,4.682127087617118,4.510597094704281,
4.831786225331598,4.538716765673598,4.7174328967230394,4.570585726105492,
4.83147378454305,4.577459423453547,4.742740600595425,4.607141298365605,
4.832098666120146,4.603704449691577,4.756175554502988,4.631511679872347,
4.832098666120146,4.6205762522731675,4.768673186044907,4.651195449550869,
4.831161343754502,4.623388219370099,4.772734916296031,4.657756706110376,
4.83147378454305,4.625575304889935,4.772110034718935,4.658069146898924,
4.83147378454305,4.6330738838150864,4.778358850489894,4.665880166612624,
4.831786225331598,4.638072936431854,4.78523254783795,4.677752916577447,
4.832098666120146,4.640572462740238,4.78679475178069,4.6802524428858305,
4.831161343754502,4.647758600876841,4.7889818373005255,4.683689291559858,
4.83147378454305,4.654007416647801,4.795855534648581,4.695249600736133,
4.831786225331598,4.653070094282157,4.795855534648581,4.694312278370489,
4.831161343754502,4.6571318245332805,4.796480416225677,4.698374008621613,
4.831161343754502,4.66338064030424,4.804291435939376,4.707434791489504,
4.831786225331598,4.667442370555364,4.808665606979048,4.715245811203204,
4.83147378454305,4.673066304749227,4.803041672785184,4.713683607260464,
4.83147378454305,4.681502206040022,4.812102455653076,4.720869745397067,
4.831786225331598,4.674316067903419,4.8127273372301715,4.720869745397067,
4.831161343754502,4.665255285035528,4.807728284613404,4.713683607260464,
4.831786225331598,4.665255285035528,4.8005421464768006,4.7052477059696685,
4.83147378454305,4.6690045744981035,4.800229705688253,4.697749127044517,
4.831161343754502,4.664317962669884,4.799917264899705,4.701185975718545,
4.831786225331598,4.662443317938596,4.8017919096309924,4.702435738872737,
4.83147378454305,4.6558820613790886,4.797417738591321,4.698374008621613,
4.83147378454305,4.648695923242485,4.78835695572343,4.687126140233886,
4.831161343754502,4.647446160088293,4.786169870203594,4.68181464682857,
4.83147378454305,4.647133719299745,4.787419633357786,4.682751969194214,
4.830848902965954,4.650258127185225,4.792418685974553,4.6924376336392015,
4.83147378454305,4.650883008762321,4.795855534648581,4.697436686255969,
4.831786225331598,4.651820331127965,4.790856482031813,4.6930625152162975,
4.831161343754502,4.663693081092788,4.797417738591321,4.698998890198709,
4.83147378454305,4.665567725824076,4.8014794688424445,4.702748179661285,
4.83147378454305,4.665255285035528,4.806478521459212,4.711808962529176,
4.83147378454305,4.66025623241876,4.805541199093568,4.711496521740628,
4.831786225331598,4.6683796929210075,4.811165133287432,4.718682659877231,
4.831786225331598,4.671191660017939,4.807728284613404,4.7171204559344915,
4.83147378454305,4.6802524428858305,4.813977100384363,4.723994153282547,
4.831786225331598,4.673378745537775,4.811165133287432,4.719307541454327,
4.83147378454305,4.673378745537775,4.810227810921788,4.7164955743573955,
4.831786225331598,4.6686921337095555,4.804291435939376,4.71118408095208,
